ids,intents,sentences,sentence_orgin
2084,play_music,Tôi muốn nghe bất kỳ cổ điển nào ngoại trừ Bach hoặc Schubert ,i'dl like to hear any classical except for bach or schubert
8680,calendar_query,Tôi có gặp gỡ hôm nay không ,do i have meetings today
2286,iot_coffee,Olly pha cà phê lúc sáu giờ sáng ,olly make coffee at six am
13285,general_quirky,Lạm phát là gì và giải thích mối quan hệ của nó với nền kinh tế ,what is inflation and explain it's relationship with the economy
14500,qa_factoid,Chỉ cần cho tôi biết dân số Ấn Độ ,just let me know the population of india
16864,email_addcontact,Bạn có thể thêm một email mới vào danh bạ của mình không ,can you add a new email to my contacts
9429,play_radio,Chơi trò chơi bóng chày đại học ,play the college baseball game
2226,play_music,Chơi vui mừng bởi Ella Fitzgerald ,play get happy by ella fitzgerald
10254,play_game,Tôi muốn chơi Kéo giấy Rock Hãy chơi ,i want to play rock paper scissors let's play
2171,news_query,Chỉ cho tôi những tin tức mới nhất về các cuộc bầu cử ,show me the latest news about the elections
15550,social_post,Báo cáo lỗi Tweet cho Samsung ,tweet error report to samsung
4999,music_query,Bài hát này dài bao nhiêu ,how long is this song
2695,iot_coffee,Nấu một số cà phê ,cook some coffees
755,datetime_convert,Thay đổi thời gian ở vị trí này đến ist ,change the time in this location to ist
1484,alarm_query,Xem lại các báo động tôi có ,review the alarms i have
4523,query,Thời tiết bên ngoài là gì ,what is the weather like outside
5459,weather_query,Tôi sẽ cần một chiếc áo len sau khi làm việc ,will i need a sweater after work
2867,iot_coffee,Tôi muốn máy pha cà phê làm cho tôi cà phê ,i want the coffee machine to make me coffee
12808,transport_query,Thời gian đào tạo Địa điểm ,train times location
3807,weather_query,Thời tiết ở Florida trong tuần này ,weather in florida this week
2339,weather_query,Thời tiết hiện tại ở thành phố New York là gì ,what is the current weather in new york city
16109,sendemail,Trả lời tất cả các email nhận được từ mười giờ chiều đến bảy giờ sáng mỗi ngày ,reply to all emails received between ten pm and seven am everyday
7967,general_quirky,Nói cho tôi biết thêm về chương trình ,tell me more about the show
5508,general_joke,Nói với Joke. ,tell joke
16660,email_query,Ai là người cuối cùng gửi email cho tôi ,who was the last person to email me
15791,email_query,Nói cho tôi biết về các email mới ,tell me about new emails
11626,recommendation_locations,Cơ khí tốt nhất ở đâu trong Eagle Point ,where is the best mechanic in eagle point
9693,play_audiobook,Tạm dừng kết thúc trên lịch sử cuốn sách âm thanh của Rome ,end pause on audio book history of rome
15749,email_sendemail,Trả lời Patrick rằng tôi đang trên đường ,reply to patrick that i am on my way
1135,news_query,Tin tức sáng nay là gì ,what is the news this morning
11115,lists_createoradd,Thời gian kịch bản mới hoặc lịch đến danh sách mới ,new scenario time or calendar to new list
11251,lists_query,Olly đọc lại danh sách tạp hóa của tôi cho tôi ,olly read back my grocery list to me
9697,play_audiobook,Tiếp tục đọc Moby Dick với tôi ,continue reading moby dick to me
923,play_music,Chơi nhạc từ một nghệ sĩ nhất định ,play music from a given artist
6931,calendar_set,Thêm sự kiện vào Lịch ,add event to calendar
2626,news_query,Tôi đã nghe về một tin tức tuyệt vời về nhà cung cấp mới của chúng tôi xin vui lòng kiểm tra tin tức và cập nhật cho tôi ,i heard about a breaking news about our new provider please check the news and update me
9168,calendar_set,Olly nhắc nhở tôi về cuộc họp tiếp theo của tôi một vài giờ trước thời hạn ,olly remind me about my next meeting a few hours ahead of time
1054,music_likeness,Vui lòng lưu bài hát này vào mục yêu thích của tôi ,please save this song to my favorites
11135,lists_createoradd,Tạo danh sách phát mới từ các bài hát gần đây ,make new playlist from recent songs
8807,calendar_set,Hãy cho tôi biết khi các cuộc họp của tôi là vào thứ hai ,let me know when my meetings are on monday
16200,email_sendemail,Vui lòng gửi email đến email mới của Larry tại Larrylarry @ Gmail dot com ,please send an email to larry's new email at larrylarry@gmail dot com
1178,music_query,Ai đã viết bài hát tôi chỉ muốn nhảy với bạn ,who wrote the song i just wanna dance with you
6825,calendar_set,Thêm một lời nhắc vào thứ Năm lúc mười một và ba mươi sáng và đặt tên cho các lớp khiêu vũ ,add a reminder on thursdays at eleven and thirty am and name it dance classes
10332,play_game,mở tàu lướt tàu điện ngầm ,open subway surfers
13028,qa_factoid,Tìm hiểu cho tôi những gì chủ đề là của mỗi cuốn sách Chambers Oswald ,find out for me what the topic is of each oswald chambers book
1126,datetime_query,cho tôi biết ngày ,tell me the date
3266,music_likeness,Vui lòng đánh giá bài hát này năm sao xin vui lòng ,please rate this song five stars please
6512,alarm_query,báo động ,alarms
13951,qa_currency,Tỷ giá hối đoái giữa CZK và Euro là bao nhiêu ,what's the exchange rate between czk and euro
6999,calendar_set,thêm sự kiện ,add event
16912,email_query,Tôi đã nhận được email từ người này ,did i receive emails from this person
2405,iot_hue_lightdim,Đã đến lúc hạ đèn nhà bếp ,it is time to lower the kitchen lights
8136,calendar_set,Vào lúc mười một giờ sáng ngày mai nhắc nhở tôi về cuộc họp ba giờ chiều của tôi ,at eleven am tomorrow remind me of my three pm meeting
7632,calendar_set,bạn có thể vui lòng đặt mười hai buổi trưa cầu nguyện cho mỗi thứ sáu ,can you please set twelve noon prayer for every friday
5643,play_music,Mở và phát nhạc từ thể loại Jazz ,open and play music from jazz genre
8159,calendar_set,Đặt lời nhắc cho bảy giờ sáng cho cuộc họp nhóm thành phố ,set reminder for seven am for the city team meeting
14295,qa_definition,Định nghĩa của Thiên Chúa là gì ,what is the definition of god
10820,lists_query,Những gì trong danh sách của tôi ngày hôm nay ,what's on my list today
5724,weather_query,Thời tiết hôm nay sẽ là gì ,what will be the weather today night
3059,news_query,Tin tức tiêu đề mới nhất từ hồ báo này là gì ,what is the latest headline news from this newsource
3286,weather_query,Cơ hội giông bão ngày nay là gì ở Biloxi ,what is the chance of thunderstorms today in biloxi
14036,qa_definition,Làm thế nào để một con báo trông ,how does a cheetah look
15681,social_post,Tweet tại Macy hai tuần sau khi mua và HEMS đều bị mất ,tweet at macy's two weeks after purchase and the hems have all come loose
16966,email_query,Tìm email về giờ làm việc ,find emails about hours from work
5093,datetime_query,thời gian ,the time
8468,calendar_query,Hôm nay những sự kiện nào còn lại còn lại ,what events do i have remaining today
6773,calendar_set,Thêm một sự kiện mới vào lịch của tôi ,add a new event to my calendar
14885,qa_factoid,Bao nhiêu phần trăm dân số Hoa Kỳ có liên quan đến huyết thống Hoàng gia Anh theo một cách nào đó ,what percentage of the us population is related to the english royal bloodline in some way
17085,email_sendemail,Hãy trả lời email này ,let's reply this email
1140,takeaway_order,đặt hàng spaghetti từ spaghetti kho để mang về nhà ,order spaghetti from spaghetti warehouse to bring home
6884,calendar_remove,Xóa cuộc họp vào ngày mai lúc mười giờ sáng ,erase the meeting tomorrow at ten am
5317,iot_hue_lightup,Tăng độ sáng trong phòng ,increase brightness in the room
8184,calendar_query,Tôi có gì đang chờ xử lý ,what do i have pending
12577,transport_traffic,Có giao thông không ,is there traffic
9653,play_radio,Olly chơi một bộ phim hay trên tivi của tôi ,olly play a good movie on my television
9852,play_audiobook,Bắt đầu từ phiên cuối cùng của tôi về cuốn sách Joes ,start from my last session of joes book
16255,email_querycontact,Mở liên hệ với Alex trong danh bạ ,open the contact alex in phonebook
13686,qa_currency,tỷ giá tiền tệ ở Anh là bao nhiêu ,what is the exchange rate of currency in uk
8554,calendar_remove,Xóa bữa tiệc Giáng sinh tại nhà thờ vào thứ Tư tới ,delete the christmas party at the church next wednesday
16517,email_sendemail,Tôi muốn trả lời ,i want to reply
6283,general_quirky,Tôi muốn nói về nó ,i would like to talk about it
11638,recommendation_events,Có những sự kiện thú vị nào đang diễn ra xung quanh vị trí của tôi không ,are there any interesting events going on around my location
7248,calendar_query,Hôm nay là sinh nhật của John ,today is john's birthday
2547,news_query,Tiêu đề từ tin tức của Bob là gì ,whats the headlines from bob's news
14566,qa_definition,xác định một câu thánh ca. ,define a stronomy
12050,recommendation_locations,Những quán rượu ở gần ga tàu điện ngầm ,what pubs are near the metro station
5908,alarm_set,Vui lòng đặt báo động trong tất cả các ngày ,please set alarm for all days
1989,play_music,Tune Song của bộ phim DDLJ ,tune song of ddlj movie
10391,play_game,Kéo giấy hoặc đá ,paper scissors or stone
9285,play_radio,Chơi Am. ,play am
1169,coffee,Tôi cần cà phê ,i need coffee
4518,takeaway_query,Khi nào đơn hàng của tôi sẵn sàng ,when is my order ready
5939,play_music,Chơi một số bài hát Carnatic ,play some carnatic songs
10395,play_game,Tôi muốn chúng tôi chơi Jeopardy bây giờ ,i would like for us to play jeopardy now
12538,transport_ticket,Olly tìm cho tôi vé tàu rẻ nhất đến Tây Ban Nha ,olly find me the cheapest train ticket to spain
15417,social_post,Tweet thời gian chờ đợi dài và nhân viên không chuyên nghiệp ,tweet long wait time and unprofessional employees
15012,qa_factoid,Các phép đo của một khối rubix là gì ,what are the measurements of a rubix cube
4465,music_likeness,Lưu tất cả các thông tin ưu tiên của tôi cụ thể cho các bài hát ,save all of my preferences information specific to songs
6095,play_music,Chơi Playlist tập luyện ,play playlist workout
766,news_query,bạn có thể vui lòng tìm kiếm nhà cung cấp tin tức mới của tôi cho những tin tức mới nhất ,could you please search my new news provider for the latest news
9264,play_radio,Vui lòng bật radio ,turn on the radio please
1033,iot_hue_lightup,Làm sáng đèn trên hiên trước ,brighten the lights on the front porch
2836,iot_hue_lightup,Chuyển đổi màu sắc của đèn trong nhà ,switch up the color of the lights in the house
13237,qa_definition,đa dạng nghĩa là gì ,what does diverse mean
16359,email_query,Email được gửi bởi liên hệ này là gì ,what is the email sent by this contact read
16854,email_query,Jane Doe. ,jane doe
1001,iot_wemo_on,Vui lòng bật ổ cắm cắm thông minh của tôi ,please turn on my smart plug socket
12143,transport_traffic,giao thông là gì ,what is traffic
12633,transport_query,Đưa tôi đến ga tàu gần nhất ,get me to the nearest train station
6190,general_quirky,Bạn đã có một ngày tốt lành ,did you have a good day
2880,audio_volume_up,Tăng khối lượng lên bảy mươi phần trăm ,increase the volume to seventy percent
578,play_music,xin vui lòng chơi nghệ sĩ đầu tiên trong hàng đợi ,please play artist first in queue
11606,recommendation_locations,Hiển thị các địa điểm gần đó ,display nearby places
15008,qa_stock,bạn có thể tìm và cho tôi biết giá cổ phiếu facebook ,can you find and tell me the prices of facebook stock
1768,datetime_convert,Chuyển đổi một nghìn ba mươi ba mươi từ g. m. t. cộng với hai trăm ba mươi đến g. m. t. không hàng trăm. ,convert one thousand and thirty from g. m. t. plus two hundred and thirty to g. m. t. zero hundred
6242,general_quirky,Tôi đã giúp một người nghèo nghèo hôm nay ,i helped a poor needy today
2928,datetime_query,yo thời gian hiện tại là gì ,yo what's the current time
9368,play_radio,Chơi kênh radio cuối cùng ,play the last radio channel
14153,qa_factoid,Thông tin trái đất ,earth info
8218,calendar_query,Tôi có ăn trưa vào thứ Sáu không ,do i have a lunch on friday
1980,play_music,Chơi nhạc yêu thích của tôi ,play my favorite music
9917,cooking_recipe,Những gì cần thiết để làm pizza ,what's needed to make pizza
704,iot_hue_lightdim,Vui lòng sáng hơn sáng hơn ,please lights less brighter
14105,qa_definition,Siri khuôn mặt đẹp trai của Jon Snow trông như thế nào ,siri what does jon snow's handsome face look like
10484,lists_query,Danh sách nào có sẵn cho các sản phẩm thực phẩm trực tuyến ,what list is available for food products online
10184,cooking_recipe,Bao nhiêu đường đi trong trà ngọt ,how much sugar goes in sweet tea
11896,recommendation_events,Những việc cần làm trong khu vực của tôi ,things to do in my area
7773,calendar_query,Lịch trình của tôi như thế nào ,whats my schedule like
12699,transport_query,Đưa tôi đến McDonalds ,take me to mc donalds
6058,play_music,Chơi bài hát Rap. ,play rap songs
17118,email_query,Kiểm tra email mới ,check for new email
11534,play_podcasts,Bắt đầu chơi tập tiếp theo ,start next episode playing
1865,weather_query,nhiệt độ giờ này ,temperature this hour
14051,qa_definition,Đưa tôi định nghĩa mới ,get me new definition
16435,email_sendemail,Tôi muốn bắt đầu email của tôi như thế này ,i want to start my email out like this
4504,weather_query,Có phải dự báo mưa trong hai ngày tới ,is it forecasted to rain in the next two days
3556,weather_query,Tuyết sẽ dừng lại trước bảy giờ sáng ,will the snow stop before seven am tomorrow
6226,general_quirky,Hôm nay là ổn ,today was okay
6407,general_quirky,câu đố. ,riddles
15386,social_post,Đăng hình ảnh tôi vừa chụp trên Twitter ,post the picture i just took on twitter
5217,news_query,có gì mới hôm nay ,what's new today
6900,calendar_set,cho tôi một lời nhắc nhở lúc tám giờ tối cho trò chơi ,give me a reminder at eight pm for the game
5210,alarm_query,Những báo động nào tôi đã đặt cho ngày hôm nay ,what alarms do i have set for today
16913,email_query,Có bất kỳ email nào chưa đọc được bởi người này ,are there any emails unread by this person
16876,email_querycontact,Tôi có số công việc cho Susan không ,do i have a work number for susan
8397,calendar_set,"Tôi phải đến một cuộc họp vào thứ Sáu vào buổi trưa, bạn có thể nhắc nhở tôi không ",i have to go to a meting on friday at noon can you remind me
4047,takeaway_query,Nhà hàng bít tết của Charley có giao hàng không ,does charley's steakhouse deliver
2358,play_music,Chơi ngày xanh ,play green day
1,alarm_set,đánh thức tôi dậy lúc chín giờ sáng thứ sáu ,wake me up at nine am on friday
13017,qa_factoid,Có bao nhiêu quốc gia trong Liên minh châu Âu ,how many countries are in the european union
5564,news_query,Ngân sách đã được bình chọn chưa ,has the budget been voted on yet
5089,news_query,Siri những gì đã xảy ra trong tin tức ngày hôm nay ,siri what's happened in the news today
4677,weather_query,Tôi sẽ cần kem chống nắng ngày hôm nay ,will i need sunscreen today
9597,play_radio,Chơi PDR trên đài phát thanh AM Band ,play pdr on the am band radio
15105,qa_stock,Nói cho tôi biết về chứng khoán cho vỏ ,tell me about the stock for shell
6261,general_quirky,hey hãy nói chuyện ,hey lets just talk
5885,iot_hue_lightup,Tăng cường độ ánh sáng ,increase light intensity
13608,qa_factoid,Những ngọn núi đá nằm ở đâu ,where are the rocky mountains located
4475,weather_query,tôi có cần thiết bị mưa của tôi không ,do i need my rain gear
5121,alarm_remove,Xóa tất cả các báo động nếu có ,remove all alarms if any
911,datetime_query,Xin vui lòng cho tôi biết thời gian hiện tại ở New York ,please tell me the current time in new york
6377,recommendation_locations,Nơi nào là một nơi tốt để ăn thực phẩm Pakistan giá rẻ ,where is a good place to eat cheap pakistani food
2811,iot_hue_lightup,Làm cho căn phòng này sáng hơn ,make this room brighter
3753,iot_cleaning,tăng sức mạnh cho chân không ,power up the vacuum
16783,email_sendemail,Mẹ tôi cần thời tiết hàng tuần gửi cho cô ấy ,my mother needs the weekly weather sent to her
8922,calendar_set,Vui lòng đặt cho tôi đầu vào của bạn để biết lịch trình của tôi ,please put me your input to know my schedule
3140,audio_volume_up,làm ơn nói to hơn ,speak louder please
16904,email_sendemail,Tôi muốn trả lời email cuối cùng của tôi ,i want to respond to my last email
13829,qa_definition,Định nghĩa của một gala là gì ,what is the definition of a gala
1629,takeaway_order,Giao hàng tận nhà miễn phí ,free home delivery
9764,play_audiobook,Chơi phụ nữ nhỏ ,play little women
8972,calendar_query,Có sinh nhật vào tháng sáu không ,is there any birthday on june
13431,qa_definition,Hiển thị ý nghĩa của Clarion ,show meaning of clarion
13161,qa_definition,Ý nghĩa của từ ,meaning of word
3332,news_query,Thêm thời gian tin tức lên lịch trình hàng ngày ,add newscast time to daily schedule
9465,play_radio,Phát sóng chương trình sức khỏe từ nhà bếp ,broadcast the health show from the kitchen
7364,calendar_remove,Xóa một sự kiện đầu tiên của hai mươi phần ba của tháng mười hai mươi mười bảy ,delete an first event of twenty third of march twenty seventeen
12241,transport_ticket,Vui lòng đến Amtrak dot com để mua vé ,please go to amtrak dot com to purchase tickets
7391,calendar_remove,Tôi sẽ không còn tham gia vào bữa ăn trưa vào ngày mai ,i will no longer be joining mom for lunch tomorrow
7603,alarm_set,Đặt báo thức cho buổi luyện tập bóng đá sáng thứ bảy lúc tám giờ sáng ,set alarm for saturday morning soccer practice at eight am
898,iot_hue_lightchange,Bật đèn màu xanh lúc ba giờ chiều ,turn the lights blue at three pm
7264,calendar_query,Tôi có những cuộc họp nào trong tuần này ,what meetings do i have this week
5448,weather_query,Trông nắng và rõ ràng hôm nay là sự thật ,it looks sunny and clear today is that true
15156,social_query,người gần đây đã đăng trên phương tiện truyền thông xã hội ,who recently posted on social media
9523,play_radio,Vui lòng chơi chương trình trên XMTune ,please play program on xmtune
13488,cooking_query,Olly tôi có thể sử dụng đường nâu thay vì màu trắng trong bánh quy bơ đậu phộng ,olly can i use brown sugar instead of white in peanut butter cookies
15240,social_query,Xin Alexa cho tôi biết video mới nhất diễn ra virus trên Twitter cho chủ đề Narendra Modi ,please alexa tell me the latest video going viral on twitter for topic narendra modi
10919,lists_createoradd,thêm mục mới ,add new item
15003,qa_factoid,Robin Williams đã qua đời nào ,what year did robin williams pass away
44,general_quirky,olly tôi không mệt mỏi Tôi thực sự hạnh phúc ,olly i am not tired i am actually happy
6143,weather_query,Thời tiết sẽ như thế nào trong hai tuần ,what will the weather be like in two weeks
7860,calendar_set,Tôi có thực hành tại Wrigley vào ngày mai lúc sáu giờ ,i have practice at wrigley tomorrow at six
15362,social_post,Vui lòng nói với Kmart họ đã gửi sai mục ,please tell kmart they sent the wrong item
7626,calendar_set,Ghi chú để thanh toán hóa đơn tiền điện và nhắc nhở tôi vào thứ bảy lúc chín giờ sáng ,make a note to pay the electricity bill and remind me on saturday at nine am
3252,query,thời tiết hôm nay thế nào ,what is the weather like today
10507,lists_remove,Xóa sách khỏi danh sách ,remove books from list
12785,transport_query,Giờ tàu ,train times
10704,lists_createoradd,Tạo danh sách mới cho những ý tưởng rực rỡ ,create new list for brilliant ideas
13308,qa_maths,Bao nhiêu là còn lại sau khi trừ bốn từ tám ,how much is remaining after subtracting four from eight
3090,datetime_query,Thời gian nào trong thời gian tiêu chuẩn núi ,what time is it in mountain standard time
3820,music_likeness,Lưu ý bài hát hiện tại là tuyệt vời xin vui lòng ,note current song as awesome please
16936,email_sendemail,Trả lời email nên nêu ,the email reply should state
8763,calendar_query,Kế hoạch cho tối nay là gì ,what is the plan for tonight
8703,calendar_set,Thêm vào lịch vào ngày và giờ này với những người này ,add to calendar on this date and time with these people
7950,calendar_set,Tôi cần bạn thêm sự kiện này vào lịch của tôi ,i need you to add this event to my calendar
690,audio_volume_down,nó quá to khối lượng ,it is too loud decrease the volume
7320,calendar_query,Những sự kiện đang xảy ra giữa hai bốn giờ tối ngày hôm nay ,what events are happening between two four pm today
3670,takeaway_query,Nhà hàng này có mang đi không ,does this restaurant have takeaway
14806,qa_factoid,Tìm tay lái Twitter của Tom Cruise ,find twitter handle of tom cruise
13007,general_quirky,Bạn nghĩ gì là thập kỷ tốt nhất ,what do you think was the best decade
2191,play_music,Chơi nhạc jazz ,play jazz music
4498,audio_volume_up,Vui lòng bật tắt cài đặt ,please unmute the settings
8645,calendar_query,Xin chào bạn có thể đọc thông tin cho ngày này ,hello can you read the information for this date
11912,recommendation_events,Họ có bất kỳ sự kiện nào đang diễn ra vào trung tâm thành phố vào cuối tuần này ,do they have any events going on downtown this weekend
7694,calendar_query,bất cứ điều gì thú vị xảy ra vào thứ Sáu tới ,anything interesting happening next friday
9247,play_radio,Tôi muốn nghe một số pop radio xin vui lòng ,i want to hear some radio pop please
6634,general_quirky,Cuộc sống về đêm ,nightlife
6223,general_quirky,Ngày của tôi là căng thẳng ,my day was stressful
16489,email_query,bất kỳ email mới nào từ công việc ,any new emails from work
3726,datetime_query,Cho tôi xem ngày hôm nay ,show me the date of today
11511,play_podcasts,Chơi tập tiếp theo của podcast xin vui lòng ,play next episode of podcast please
6709,qa_definition,Skynet là gì ,what is skynet
3113,music_dislikeness,Tôi ghét bài hát này xin nhớ điều đó để tôi không nghe thấy bài hát này một lần nữa ,i hate this song please remember that so that i don't hear this song ever again
23,iot_hue_lightdim,làm mờ đèn trong bếp ,dim the lights in the kitchen
11161,lists_remove,thoát khỏi đậu Hà Lan ,get rid of peas
11649,recommendation_events,Có bất kỳ lễ hội nào ở vị trí của chúng ta ngày hôm nay ,is there any carnival in our place today
6736,calendar_remove,Hủy tất cả các sự kiện trong hai ngày tới ,cancel all events in the next two days
13775,qa_factoid,Florida từ Bắc Carolina bao xa ,how far is florida from north carolina
2597,news_query,thông báo cho tôi về tin tức quốc tế ,inform me about international news
3885,alarm_query,Báo động hiện đang được đặt ,what alarms are currently set
2676,datetime_query,Ngày hôm nay là gì ,what is today date
16616,email_query,Tôi đã nhận được bất kỳ email nào về sinh nhật của Jared ,have i received any emails about jared's birthday
13813,general_quirky,có đúng cây treo thực sự có ai đó treo từ nó không ,is it true the hanging tree really had someone hung from it
9007,calendar_set,Đặt một sự kiện Lễ Tạ ơn vào thứ Sáu ,set a thanks giving event for friday
3125,news_query,Những gì mới nhất về lệnh cấm du lịch của Trump ,what's the latest on trump's travel ban
2176,iot_hue_lightdim,Hạ mức ánh sáng trong nhà tôi ,lower the light level in my house
2018,iot_hue_lightchange,Chuyển đèn sang tông màu đỏ ,switch lights to red tone
15595,social_post,Hướng đến phòng tập thể dục Vui lòng đăng lên Facebook ,heading to gym please post to facebook
9463,play_radio,Tune chủ đề tốt nhất ,tune best topic
15979,email_addcontact,Thêm Tiến sĩ Rosenstock như một liên hệ email ,add dr rosenstock as an email contact
2627,audio_volume_up,Thay đổi khối lượng trình phát nhạc của tôi thành tám mươi phần trăm ,change my music player volume to eighty percent
14667,qa_currency,Có bao nhiêu euro cho một bạn. S. d. ,how many euros for one u. s. d.
1044,takeaway_order,pizza tốt nhất gần tôi là gì ,what is the best pizza near me that delivers
7165,calendar_set,Sixx am ,six am
2445,iot_coffee,olly ủ cà phê của tôi ,olly brew my coffee
11801,recommendation_locations,Mọi người mua quần áo ở đâu ,where do people shop for clothes here
13261,recommendation_locations,Starbucks gần hơn ở đâu ,where is the closer starbucks
9809,play_music,Vui lòng chơi album Michael Jackson ,please play michael jackson album
10984,lists_query,Đọc danh sách có sẵn. ,read available lists
12001,recommendation_events,Tôi có thể bắt được một số điều tốt để làm tối nay ,where can i catch some good things to do tonight
4425,weather_query,cho tôi thời tiết hàng tuần gần tôi ,give me the weekly weather near me
1378,takeaway_query,olly làm vườn panda cung cấp ,olly does panda garden deliver
1155,iot_hue_lightoff,Tắt đèn trong phòng ngủ ,turn off the lights in the bedroom
327,weather_query,chủ nhật ,sunday
7934,calendar_set,Hãy cho tôi biết khi tôi ba ngày ra khỏi sự kiện này trong lịch của tôi ,let me know when i am three days out from this event in my calendar
750,audio_volume_down,Giảm khối lượng lên mười phần trăm ,decrease the volume to ten percent
6839,calendar_query,Tôi có gặp gì vào ngày mai không ,do i have any meetings tomorrow
12421,transport_query,Bao lâu là đi bộ từ Nyack đến Valley Cottage ,how long is the walk from nyack to valley cottage
6947,calendar_query,Tôi có cuộc hẹn vào chiều mai không ,do i have any appointments tomorrow afternoon
10371,game,Chơi Subway Surfer. ,play subway surfer
12677,transport_query,Vui lòng liệt kê các chuyến đi mưa có sẵn đến vị trí a ,please list the available rain trips to location a
9757,play_audiobook,Tôi muốn tiếp tục audiobook của tôi ,i would like to continue my audiobook
7937,calendar_query,Sự kiện này đã được lên lịch vào ngày nào ,what day is this event scheduled for
11258,play_podcasts,Chơi Ghi âm tiếp theo ,play next recording
15063,qa_stock,Cổ phiếu Google đắt như thế nào ,how expensive is google stock
2911,play_music,Chơi CD LED Zeppelin của Thánh ,play cd led zeppelin houses of the holy
9779,play_audiobook,Chơi thần nhỏ ,play the god of small things
8166,calendar_set,Vui lòng thêm cuộc họp với MS Boland vào thứ Tư tám trăm sáng đến lịch của tôi ,please add the meeting with ms boland on wednesday eight hundred am to my calendar
7097,calendar_set,thêm cuộc hẹn với bác sĩ của tôi cho mười lăm ,add my doctor appointment for the fifteenth
9354,play_radio,Vui lòng khởi động radio ,please start the radio
4555,iot_coffee,Chuẩn bị một tách cà phê ,prepare a cup of coffee
15774,email_querycontact,cho tôi biết số điện thoại cố định ,tell me the landline number
847,alarm_query,Có bất kỳ báo động nào được đặt ngay bây giờ ,are there any alarms set right now
14132,qa_currency,Xin vui lòng cho tôi biết tỷ lệ cho Yên với bạn là gì. S. d. ,please tell me what is the rate for yen to u. s. d.
11120,lists_remove,Xóa táo khỏi danh sách mua sắm của tôi ,delete apples from my shopping list
12894,transport_ticket,Giúp tôi đặt vé tàu ,help me book a train ticket
15821,news_query,Cái gì mới ,what is new
12048,recommendation_events,sự kiện trong khu vực địa phương ,events in the local area
5274,play_music,Vui lòng chơi danh sách nhạc pop của tôi ,please play my pop playlist
13959,qa_factoid,nói với tôi ngọn núi cao nhất thế giới ,tell me the highest mountain in the world
6148,play_music,Chơi nhạc hip hop ,play hip hop music
16039,email_query,hey olly có john gửi cho tôi bất kỳ email nào gần đây ,hey olly has john sent me any email lately
13965,qa_currency,tỷ giá hối đoái là bao nhiêu. S. d. và Euro. ,what is the exchange rate between u. s. d. and euro
